Submarine,Country,Type,Tier,Weapon Category,Weapon Family,Weapon Variant,Slot,Compatibility,Source
UK_SSN_Trafalgar,UK,SSN,6,MINE,UK_MINE_SeaUrchin,UK_MINE_SeaUrchin,TORPEDO,PROBABLE,潜艇布放水雷。
UK_SSN_Trafalgar,UK,SSN,6,TORP,UK_TORP_Spearfish,UK_TORP_Spearfish,TORPEDO,CONFIRMED,主力重型鱼雷。
UK_SSN_Trafalgar,UK,SSN,6,TORP,UK_TORP_StingRay,UK_TORP_StingRay,TORPEDO,GAMEPLAY,公开资料以反潜机与水面舰为主，潜艇发射为游戏内假设。
UK_SSN_Trafalgar,UK,SSN,6,TORP,UK_TORP_Tigerfish,UK_TORP_Tigerfish,TORPEDO,PROBABLE,早期批次仍携带线导鱼雷。
UK_SSN_Valiant,UK,SSN,3,ASM,US_ASM_Harpoon,US_ASM_Harpoon,MISSILE,PROBABLE,公开资料显示部分艇只携带潜射鱼叉。
UK_SSN_Valiant,UK,SSN,3,TORP,UK_TORP_Mk8,UK_TORP_Mk8,TORPEDO,CONFIRMED,早期主力鱼雷。
UK_SSN_Valiant,UK,SSN,3,TORP,UK_TORP_Spearfish,UK_TORP_Spearfish,TORPEDO,PROBABLE,退役前的后期改装。
UK_SSN_Valiant,UK,SSN,3,TORP,UK_TORP_Tigerfish,UK_TORP_Tigerfish,TORPEDO,CONFIRMED,换装线导鱼雷。
US_SSBN_BenjaminFranklin,USA,SSBN,5,SLBM,US_SLBM_Poseidon,US_SLBM_Poseidon_C3,SLBM,CONFIRMED,改装后主力战略武器。
US_SSBN_BenjaminFranklin,USA,SSBN,5,SLBM,US_SLBM_Trident,US_SLBM_Trident_C4,SLBM,PROBABLE,部分艇只改装三叉戟 I，公开资料不完整。
US_SSBN_BenjaminFranklin,USA,SSBN,5,TORP,US_TORP_Mk37,US_TORP_Mk37,TORPEDO,CONFIRMED,自卫鱼雷。
US_SSBN_Columbia,USA,SSBN,10,DECOY,US_DECOY_ADC,US_DECOY_ADC_Mk4,TORPEDO,GAMEPLAY,公开资料未细化，游戏内以现役对抗装置代表该类载荷。
US_SSBN_Columbia,USA,SSBN,10,SLBM,US_SLBM_Trident,US_SLBM_Trident_D5LE,SLBM,CONFIRMED,公开资料确认将搭载 D5LE。
US_SSBN_Columbia,USA,SSBN,10,TORP,US_TORP_Mk48,US_TORP_Mk48_Mod7,TORPEDO,PROBABLE,预计沿用现役鱼雷。
US_SSBN_EthanAllen,USA,SSBN,3,SLBM,US_SLBM_Polaris,US_SLBM_Polaris_A1,SLBM,PROBABLE,早期批次使用 A1。
US_SSBN_EthanAllen,USA,SSBN,3,SLBM,US_SLBM_Polaris,US_SLBM_Polaris_A3,SLBM,CONFIRMED,后期统一换装 A3。
US_SSBN_EthanAllen,USA,SSBN,3,TORP,US_TORP_Mk14,US_TORP_Mk14,TORPEDO,CONFIRMED,自卫鱼雷。
US_SSBN_EthanAllen,USA,SSBN,3,TORP,US_TORP_Mk37,US_TORP_Mk37,TORPEDO,PROBABLE,后期批次换装。
US_SSBN_GeorgeWashington,USA,SSBN,2,SLBM,US_SLBM_Polaris,US_SLBM_Polaris_A1,SLBM,CONFIRMED,首艇批次携带北极星 A1。
US_SSBN_GeorgeWashington,USA,SSBN,2,SLBM,US_SLBM_Polaris,US_SLBM_Polaris_A3,SLBM,CONFIRMED,后期换装 A3。
US_SSBN_GeorgeWashington,USA,SSBN,2,TORP,US_TORP_Mk14,US_TORP_Mk14,TORPEDO,CONFIRMED,自卫鱼雷。
US_SSBN_GeorgeWashington,USA,SSBN,2,TORP,US_TORP_Mk37,US_TORP_Mk37,TORPEDO,PROBABLE,后期批次换装电动反潜鱼雷。
US_SSBN_JamesMadison,USA,SSBN,4,SLBM,US_SLBM_Poseidon,US_SLBM_Poseidon_C3,SLBM,CONFIRMED,改装后主力战略武器。
US_SSBN_JamesMadison,USA,SSBN,4,SLBM,US_SLBM_Trident,US_SLBM_Trident_C4,SLBM,CONFIRMED,部分艇只进一步改装为三叉戟 I。
US_SSBN_JamesMadison,USA,SSBN,4,TORP,US_TORP_Mk37,US_TORP_Mk37,TORPEDO,CONFIRMED,自卫鱼雷。
US_SSBN_Lafayette,USA,SSBN,4,SLBM,US_SLBM_Polaris,US_SLBM_Polaris_A3,SLBM,CONFIRMED,服役初期携带北极星 A3。
US_SSBN_Lafayette,USA,SSBN,4,SLBM,US_SLBM_Poseidon,US_SLBM_Poseidon_C3,SLBM,CONFIRMED,部分艇只改装为海神 C3。
US_SSBN_Lafayette,USA,SSBN,4,TORP,US_TORP_Mk37,US_TORP_Mk37,TORPEDO,CONFIRMED,自卫鱼雷。
US_SSBN_Lafayette,USA,SSBN,4,TORP,US_TORP_Mk48,US_TORP_Mk48,TORPEDO,PROBABLE,后期改装批次可能携带 Mk 48。
US_SSBN_Ohio,USA,SSBN,8,DECOY,US_DECOY_Mk70_MOSS,US_DECOY_Mk70_MOSS,TORPEDO,PROBABLE,自卫诱饵。
US_SSBN_Ohio,USA,SSBN,8,SLBM,US_SLBM_Trident,US_SLBM_Trident_C4,SLBM,CONFIRMED,早期批次携带三叉戟 I。
US_SSBN_Ohio,USA,SSBN,8,SLBM,US_SLBM_Trident,US_SLBM_Trident_D5,SLBM,CONFIRMED,改装后现役战略武器。
US_SSBN_Ohio,USA,SSBN,8,SLBM,US_SLBM_Trident,US_SLBM_Trident_D5LE,SLBM,CONFIRMED,延寿批次。
US_SSBN_Ohio,USA,SSBN,8,TORP,US_TORP_Mk48,US_TORP_Mk48_ADCAP,TORPEDO,CONFIRMED,自卫鱼雷。
US_SSN_LosAngeles,USA,SSN,6,ASM,US_ASM_Harpoon,US_ASM_Harpoon,MISSILE,CONFIRMED,经发射管布放的潜射鱼叉。
US_SSN_LosAngeles,USA,SSN,6,ASW,US_ASW_SUBROC,US_ASW_SUBROC,MISSILE,CONFIRMED,早期批次具备反潜火箭发射能力。
US_SSN_LosAngeles,USA,SSN,6,DECOY,US_DECOY_Mk70_MOSS,US_DECOY_Mk70_MOSS,TORPEDO,PROBABLE,经发射管布放的声学诱饵。
US_SSN_LosAngeles,USA,SSN,6,LAM,US_LAM_Tomahawk,US_LAM_Tomahawk_BlockIII,VLS,CONFIRMED,后期批次带垂直发射装置。
US_SSN_LosAngeles,USA,SSN,6,LAM,US_LAM_Tomahawk,US_LAM_Tomahawk_BlockIV,VLS,CONFIRMED,现役批次换装战术战斧。
US_SSN_LosAngeles,USA,SSN,6,MINE,US_MINE_Mk60_CAPTOR,US_MINE_Mk60_CAPTOR,TORPEDO,PROBABLE,发射管布放封装水雷。
US_SSN_LosAngeles,USA,SSN,6,MINE,US_MINE_Mk67_SLMM,US_MINE_Mk67_SLMM,TORPEDO,PROBABLE,发射管布放机动水雷。
US_SSN_LosAngeles,USA,SSN,6,TORP,US_TORP_Mk48,US_TORP_Mk48,TORPEDO,CONFIRMED,全寿命主力鱼雷。
US_SSN_LosAngeles,USA,SSN,6,TORP,US_TORP_Mk48,US_TORP_Mk48_ADCAP,TORPEDO,CONFIRMED,ADCAP 批次为现役标准配置。
US_SSN_LosAngeles,USA,SSN,6,TORP,US_TORP_Mk48,US_TORP_Mk48_Mod6,TORPEDO,PROBABLE,后期批次随 Mod 6 一起换装。
US_SSN_Seawolf,USA,SSN,8,DECOY,US_DECOY_ADC,US_DECOY_ADC_Mk4,TORPEDO,PROBABLE,现役声学对抗装置，逐艇资料不完整。
US_SSN_Seawolf,USA,SSN,8,DECOY,US_DECOY_Mk70_MOSS,US_DECOY_Mk70_MOSS,TORPEDO,PROBABLE,经发射管布放声学诱饵。
US_SSN_Seawolf,USA,SSN,8,LAM,US_LAM_Tomahawk,US_LAM_Tomahawk_BlockIV,VLS,CONFIRMED,经大口径发射管布放。
US_SSN_Seawolf,USA,SSN,8,MINE,US_MINE_Mk60_CAPTOR,US_MINE_Mk60_CAPTOR,TORPEDO,PROBABLE,大口径发射管可布放封装水雷。
US_SSN_Seawolf,USA,SSN,8,MINE,US_MINE_Mk67_SLMM,US_MINE_Mk67_SLMM,TORPEDO,PROBABLE,发射管布放机动水雷。
US_SSN_Seawolf,USA,SSN,8,TORP,US_TORP_Mk48,US_TORP_Mk48_Mod6,TORPEDO,CONFIRMED,现役标准重型鱼雷。
US_SSN_Seawolf,USA,SSN,8,TORP,US_TORP_Mk48,US_TORP_Mk48_Mod7,TORPEDO,PROBABLE,最新批次鱼雷。
US_SSN_Skipjack,USA,SSN,2,TORP,US_TORP_Mk14,US_TORP_Mk14,TORPEDO,CONFIRMED,服役初期的主力蒸汽鱼雷。
US_SSN_Skipjack,USA,SSN,2,TORP,US_TORP_Mk16,US_TORP_Mk16,TORPEDO,PROBABLE,同代高速蒸汽鱼雷，公开资料未逐艇列出。
US_SSN_Skipjack,USA,SSN,2,TORP,US_TORP_Mk37,US_TORP_Mk37,TORPEDO,CONFIRMED,冷战早期核潜艇标准电动反潜鱼雷。
US_SSN_Skipjack,USA,SSN,2,TORP,US_TORP_Mk48,US_TORP_Mk48,TORPEDO,PROBABLE,退役前的后期改装批次可能换装 Mk 48。
US_SSN_Sturgeon,USA,SSN,4,ASM,US_ASM_Harpoon,US_ASM_Harpoon,MISSILE,PROBABLE,部分艇只改装过潜射鱼叉。
US_SSN_Sturgeon,USA,SSN,4,ASW,US_ASW_SUBROC,US_ASW_SUBROC,MISSILE,CONFIRMED,冷战时期美国核潜艇标准远程反潜武器。
US_SSN_Sturgeon,USA,SSN,4,LAM,US_LAM_Tomahawk,US_LAM_Tomahawk_BlockIII,VLS,PROBABLE,冷战末期部分艇只获得对陆攻击能力。
US_SSN_Sturgeon,USA,SSN,4,TORP,US_TORP_Mk37,US_TORP_Mk37,TORPEDO,CONFIRMED,服役初期主力鱼雷。
US_SSN_Sturgeon,USA,SSN,4,TORP,US_TORP_Mk45,US_TORP_Mk45,TORPEDO,PROBABLE,同代特种反潜鱼雷，逐艇资料不完整。
US_SSN_Sturgeon,USA,SSN,4,TORP,US_TORP_Mk48,US_TORP_Mk48,TORPEDO,CONFIRMED,冷战后期换装 Mk 48。
US_SSN_Virginia,USA,SSN,9,DECOY,US_DECOY_ADC,US_DECOY_ADC_Mk4,TORPEDO,PROBABLE,现役声学对抗装置。
US_SSN_Virginia,USA,SSN,9,DECOY,US_DECOY_ADC,US_DECOY_ADC_Mk5,TORPEDO,PROBABLE,现役声学对抗装置后续批次。
US_SSN_Virginia,USA,SSN,9,DECOY,US_DECOY_Mk70_MOSS,US_DECOY_Mk70_MOSS,TORPEDO,GAMEPLAY,现役诱饵型号未完全公开，游戏内以该型代表该类载荷。
US_SSN_Virginia,USA,SSN,9,LAM,US_LAM_Tomahawk,US_LAM_Tomahawk_BlockIV,VLS,CONFIRMED,垂直发射装置的标准载荷。
US_SSN_Virginia,USA,SSN,9,LAM,US_LAM_Tomahawk,US_LAM_Tomahawk_BlockV,VLS,CONFIRMED,Block V 及后续批次配套弹药。
US_SSN_Virginia,USA,SSN,9,MINE,US_MINE_Mk60_CAPTOR,US_MINE_Mk60_CAPTOR,TORPEDO,PROBABLE,发射管布放水雷任务。
US_SSN_Virginia,USA,SSN,9,MINE,US_MINE_Mk67_SLMM,US_MINE_Mk67_SLMM,TORPEDO,PROBABLE,发射管布放机动水雷。
US_SSN_Virginia,USA,SSN,9,SPECIAL,US_SPECIAL_ASDS,US_SPECIAL_ASDS,SPECIAL,PROBABLE,先进输送系统，公开资料显示服役期有限。
US_SSN_Virginia,USA,SSN,9,SPECIAL,US_SPECIAL_DDS,US_SPECIAL_DDS,SPECIAL,PROBABLE,部分艇只有干式遮蔽舱任务记录。
US_SSN_Virginia,USA,SSN,9,SPECIAL,US_SPECIAL_SDV_Mk8,US_SPECIAL_SDV_Mk8,SPECIAL,PROBABLE,配合遮蔽舱使用的输送载具。
US_SSN_Virginia,USA,SSN,9,TORP,US_TORP_Mk48,US_TORP_Mk48_ADCAP,TORPEDO,PROBABLE,早期批次携带 ADCAP 级别鱼雷。
US_SSN_Virginia,USA,SSN,9,TORP,US_TORP_Mk48,US_TORP_Mk48_Mod6,TORPEDO,CONFIRMED,现役标准重型鱼雷。
US_SSN_Virginia,USA,SSN,9,TORP,US_TORP_Mk48,US_TORP_Mk48_Mod7,TORPEDO,CONFIRMED,新批次鱼雷，公开资料已确认。
