submarine_id,country,type,PASSIVE,ACTIVE,BOW,FLANK,TOWED,HF,MINE,NAV,PHOTONICS,EOIR,RADAR,ESM,PROCESSING
CN_SSN_Type093,China,SSN,GEN_SONAR_PSV_T7:GAMEPLAY,GEN_SONAR_ACT_T7:GAMEPLAY,CN_SONAR_Type093:PROBABLE,GEN_SONAR_FLK_T7:GAMEPLAY,GEN_SONAR_TWD_T7:GAMEPLAY,GEN_SONAR_HF_T7:GAMEPLAY,GEN_SONAR_MINE_T7:GAMEPLAY,GEN_SONAR_NAV_T7:GAMEPLAY,GEN_MAST_PHO_T7:GAMEPLAY,GEN_EOIR_T7:GAMEPLAY,GEN_RADAR_T7:GAMEPLAY,GEN_ESM_T7:GAMEPLAY,GEN_PROC_T7:GAMEPLAY
CN_SSN_Type093A,China,SSN,GEN_SONAR_PSV_T8:GAMEPLAY,GEN_SONAR_ACT_T8:GAMEPLAY,CN_SONAR_Type093:PROBABLE,GEN_SONAR_FLK_T8:GAMEPLAY,GEN_SONAR_TWD_T8:GAMEPLAY,GEN_SONAR_HF_T8:GAMEPLAY,GEN_SONAR_MINE_T8:GAMEPLAY,GEN_SONAR_NAV_T8:GAMEPLAY,GEN_MAST_PHO_T8:GAMEPLAY,GEN_EOIR_T8:GAMEPLAY,GEN_RADAR_T8:GAMEPLAY,GEN_ESM_T8:GAMEPLAY,GEN_PROC_T8:GAMEPLAY
CN_SSN_Type093B,China,SSN,GEN_SONAR_PSV_T9:GAMEPLAY,GEN_SONAR_ACT_T9:GAMEPLAY,CN_SONAR_Type093:PROBABLE,GEN_SONAR_FLK_T9:GAMEPLAY,GEN_SONAR_TWD_T9:GAMEPLAY,GEN_SONAR_HF_T9:GAMEPLAY,GEN_SONAR_MINE_T9:GAMEPLAY,GEN_SONAR_NAV_T9:GAMEPLAY,GEN_MAST_PHO_T9:GAMEPLAY,GEN_EOIR_T9:GAMEPLAY,GEN_RADAR_T9:GAMEPLAY,GEN_ESM_T9:GAMEPLAY,GEN_PROC_T9:GAMEPLAY
CN_SSN_Type095,China,SSN,GEN_SONAR_PSV_T10:GAMEPLAY,GEN_SONAR_ACT_T10:GAMEPLAY,GEN_SONAR_BOW_T10:GAMEPLAY,GEN_SONAR_FLK_T10:GAMEPLAY,GEN_SONAR_TWD_T10:GAMEPLAY,GEN_SONAR_HF_T10:GAMEPLAY,GEN_SONAR_MINE_T10:GAMEPLAY,GEN_SONAR_NAV_T10:GAMEPLAY,GEN_MAST_PHO_T10:GAMEPLAY,GEN_EOIR_T10:GAMEPLAY,GEN_RADAR_T10:GAMEPLAY,GEN_ESM_T10:GAMEPLAY,GEN_PROC_T10:GAMEPLAY
CN_SSBN_Type092,China,SSBN,GEN_SONAR_PSV_T5:GAMEPLAY,GEN_SONAR_ACT_T5:GAMEPLAY,GEN_SONAR_BOW_T5:GAMEPLAY,GEN_SONAR_FLK_T5:GAMEPLAY,GEN_SONAR_TWD_T5:GAMEPLAY,GEN_SONAR_HF_T5:GAMEPLAY,GEN_SONAR_MINE_T5:GAMEPLAY,GEN_SONAR_NAV_T5:GAMEPLAY,GEN_MAST_PHO_T5:GAMEPLAY,GEN_EOIR_T5:GAMEPLAY,GEN_RADAR_T5:GAMEPLAY,GEN_ESM_T5:GAMEPLAY,GEN_PROC_T5:GAMEPLAY
CN_SSBN_Type094,China,SSBN,GEN_SONAR_PSV_T8:GAMEPLAY,GEN_SONAR_ACT_T8:GAMEPLAY,GEN_SONAR_BOW_T8:GAMEPLAY,GEN_SONAR_FLK_T8:GAMEPLAY,GEN_SONAR_TWD_T8:GAMEPLAY,GEN_SONAR_HF_T8:GAMEPLAY,GEN_SONAR_MINE_T8:GAMEPLAY,GEN_SONAR_NAV_T8:GAMEPLAY,GEN_MAST_PHO_T8:GAMEPLAY,GEN_EOIR_T8:GAMEPLAY,GEN_RADAR_T8:GAMEPLAY,GEN_ESM_T8:GAMEPLAY,GEN_PROC_T8:GAMEPLAY
CN_SSBN_Type094A,China,SSBN,GEN_SONAR_PSV_T9:GAMEPLAY,GEN_SONAR_ACT_T9:GAMEPLAY,GEN_SONAR_BOW_T9:GAMEPLAY,GEN_SONAR_FLK_T9:GAMEPLAY,GEN_SONAR_TWD_T9:GAMEPLAY,GEN_SONAR_HF_T9:GAMEPLAY,GEN_SONAR_MINE_T9:GAMEPLAY,GEN_SONAR_NAV_T9:GAMEPLAY,GEN_MAST_PHO_T9:GAMEPLAY,GEN_EOIR_T9:GAMEPLAY,GEN_RADAR_T9:GAMEPLAY,GEN_ESM_T9:GAMEPLAY,GEN_PROC_T9:GAMEPLAY
CN_SSBN_Type096,China,SSBN,GEN_SONAR_PSV_T10:GAMEPLAY,GEN_SONAR_ACT_T10:GAMEPLAY,GEN_SONAR_BOW_T10:GAMEPLAY,GEN_SONAR_FLK_T10:GAMEPLAY,GEN_SONAR_TWD_T10:GAMEPLAY,GEN_SONAR_HF_T10:GAMEPLAY,GEN_SONAR_MINE_T10:GAMEPLAY,GEN_SONAR_NAV_T10:GAMEPLAY,GEN_MAST_PHO_T10:GAMEPLAY,GEN_EOIR_T10:GAMEPLAY,GEN_RADAR_T10:GAMEPLAY,GEN_ESM_T10:GAMEPLAY,GEN_PROC_T10:GAMEPLAY
IN_SSBN_Arihant,India,SSBN,GEN_SONAR_PSV_T7:GAMEPLAY,GEN_SONAR_ACT_T7:GAMEPLAY,IN_SONAR_Arihant:PROBABLE,GEN_SONAR_FLK_T7:GAMEPLAY,GEN_SONAR_TWD_T7:GAMEPLAY,GEN_SONAR_HF_T7:GAMEPLAY,GEN_SONAR_MINE_T7:GAMEPLAY,GEN_SONAR_NAV_T7:GAMEPLAY,GEN_MAST_PHO_T7:GAMEPLAY,GEN_EOIR_T7:GAMEPLAY,GEN_RADAR_T7:GAMEPLAY,GEN_ESM_T7:GAMEPLAY,GEN_PROC_T7:GAMEPLAY
IN_SSBN_Arighaat,India,SSBN,GEN_SONAR_PSV_T8:GAMEPLAY,GEN_SONAR_ACT_T8:GAMEPLAY,IN_SONAR_Arihant:PROBABLE,GEN_SONAR_FLK_T8:GAMEPLAY,GEN_SONAR_TWD_T8:GAMEPLAY,GEN_SONAR_HF_T8:GAMEPLAY,GEN_SONAR_MINE_T8:GAMEPLAY,GEN_SONAR_NAV_T8:GAMEPLAY,GEN_MAST_PHO_T8:GAMEPLAY,GEN_EOIR_T8:GAMEPLAY,GEN_RADAR_T8:GAMEPLAY,GEN_ESM_T8:GAMEPLAY,GEN_PROC_T8:GAMEPLAY
IN_SSBN_S4,India,SSBN,GEN_SONAR_PSV_T9:GAMEPLAY,GEN_SONAR_ACT_T9:GAMEPLAY,IN_SONAR_Arihant:PROBABLE,GEN_SONAR_FLK_T9:GAMEPLAY,GEN_SONAR_TWD_T9:GAMEPLAY,GEN_SONAR_HF_T9:GAMEPLAY,GEN_SONAR_MINE_T9:GAMEPLAY,GEN_SONAR_NAV_T9:GAMEPLAY,GEN_MAST_PHO_T9:GAMEPLAY,GEN_EOIR_T9:GAMEPLAY,GEN_RADAR_T9:GAMEPLAY,GEN_ESM_T9:GAMEPLAY,GEN_PROC_T9:GAMEPLAY
IN_SSBN_S5,India,SSBN,GEN_SONAR_PSV_T10:GAMEPLAY,GEN_SONAR_ACT_T10:GAMEPLAY,GEN_SONAR_BOW_T10:GAMEPLAY,GEN_SONAR_FLK_T10:GAMEPLAY,GEN_SONAR_TWD_T10:GAMEPLAY,GEN_SONAR_HF_T10:GAMEPLAY,GEN_SONAR_MINE_T10:GAMEPLAY,GEN_SONAR_NAV_T10:GAMEPLAY,GEN_MAST_PHO_T10:GAMEPLAY,GEN_EOIR_T10:GAMEPLAY,GEN_RADAR_T10:GAMEPLAY,GEN_ESM_T10:GAMEPLAY,GEN_PROC_T10:GAMEPLAY
